Date,Open,High,Low,Close,Adj Close,Volume,,,,mean,,MAM
07-09-17,49580,49650,49210,49210,48732.00781,49044,,,,,,
10-09-17,48910,49800,48910,49690,49207.33984,10750,,,,,,
11-09-17,49690,50490,49690,50490,49999.57031,29684,,,,,,
12-09-17,50450,50450,49550,49610,49128.12109,49418,,,,,,
13-09-17,49500,49600,48420,48710,48236.86328,54460,,,,,,
14-09-17,48900,49460,48150,48180,47712.02344,92129,,,,,,
17-09-17,48800,49300,48780,49170,48692.39453,17106,,,,,,
18-09-17,49200,50060,49200,49980,49494.53516,28812,,,,,,
19-09-17,50200,50480,50070,50070,49583.65234,37922,,,,,,
24-09-17,50060,50120,49720,50100,49613.35938,10514,,,,,,
25-09-17,50400,50440,49850,50440,49950.06641,25908,,,,,,
26-09-17,50430,51490,50430,50970,50474.91797,50743,,,,,,
27-09-17,51740,52390,51460,51820,51316.65234,54395,,,,,,
28-09-17,51500,51990,51300,51930,51425.58984,106668,,,,,,
01-10-17,52000,52290,51730,52160,51653.35938,12940,,,,,,
02-10-17,52180,52330,51840,51930,51425.58984,38997,,,,,,
03-10-17,52100,52540,52000,52520,52009.86328,36113,,,,,,
08-10-17,52590,53100,52590,53090,52574.31641,16182,,,,,,
09-10-17,53090,53390,53050,53310,52792.17969,31647,,,,,,
10-10-17,53010,53180,52370,52460,51950.44141,30141,,,,,,
15-10-17,52720,53280,52720,53090,52574.31641,20745,,,,,,
16-10-17,53080,53610,53080,53270,52752.57031,63165,,,,,,
17-10-17,53270,53270,53270,53270,52752.57031,0,,,,,,
18-10-17,53360,53390,52750,53000,52485.19922,30921,,,,,,
19-10-17,53130,53130,52210,52210,51702.87109,31933,,,,,,
22-10-17,52530,52700,52300,52400,51891.01953,11585,,,,,,
23-10-17,52670,52670,51550,52010,51504.81641,39341,,,,,,
24-10-17,52050,52930,51900,52700,52188.10938,37588,,,,,,
25-10-17,52900,52900,52150,52640,52128.69922,29085,,,,,,
26-10-17,53200,53200,52360,53020,52505.00391,58363,,,,,,
29-10-17,53350,53350,53020,53020,52505.00391,18719,,,,,,
30-10-17,53000,53000,51380,51490,50989.85938,57515,,,,,,
31-10-17,51700,52200,51200,52200,51692.96484,53912,,,,,,
01-11-17,52400,52460,51880,51880,51376.07422,28976,,,,,,
02-11-17,51800,52500,51560,52390,51881.12109,66974,,,,,,
05-11-17,52500,52500,52230,52310,51801.89844,17591,,,,,,
06-11-17,52300,52300,51310,52000,51494.90625,38665,,,,,,
07-11-17,51840,52180,51500,51640,51138.39844,46836,,,,,,
08-11-17,51800,52040,51420,51900,51395.88281,38240,,,,,,
09-11-17,51940,51950,50510,51570,51069.08984,80201,,,,,,
12-11-17,51700,51870,51450,51510,51009.66406,14173,,,,,,
13-11-17,51760,51760,49820,50900,50405.59375,70434,,,,,,
14-11-17,50500,51480,49640,50510,50019.38281,53674,,,,,,
15-11-17,50110,50110,49130,49580,49098.41406,48063,,,,,,
16-11-17,49140,49440,48180,48500,48028.89844,100584,,,,,,
19-11-17,48090,49020,48040,48900,48425.01953,66215,,,,,,
20-11-17,48750,48990,48500,48720,48246.76953,94410,,,,,,
21-11-17,48820,48910,48010,48910,48434.92578,50792,,,,,,
22-11-17,49200,49980,49050,49970,49484.625,47501,,,,,,
23-11-17,49610,50470,49220,50470,49979.76563,91581,,,,,,
26-11-17,50310,51650,50310,51430,50930.44922,34394,,,,,,
27-11-17,51430,51430,50810,51010,50514.51953,34310,,,,,,
28-11-17,51010,51010,50530,50680,50187.73047,21302,,,,,,
29-11-17,50530,50580,49350,49350,48870.64453,47396,,,,,,
30-11-17,49340,49390,48420,48420,47950.10938,129563,,,,,,
03-12-17,48410,48790,48050,48300,47874.77734,22788,,,,,,
04-12-17,48300,49230,48300,49140,48707.39063,31991,,,,,,
05-12-17,48990,49140,48100,48400,47973.90234,36622,,,,,,
06-12-17,48010,48190,47050,47700,47280.0625,69694,,,,,,
07-12-17,47750,48100,47010,47460,47042.17188,66902,,,,,,
10-12-17,47400,47400,46120,46120,45713.97656,36310,,,,,,
11-12-17,46480,47820,46300,47600,47180.94141,71911,,,,,,
12-12-17,47600,47940,47260,47500,47081.82813,42112,,,,,,
13-12-17,47540,48000,47500,48000,47577.41797,26880,,,,,,
14-12-17,47650,48200,46280,46490,46080.71094,152557,,,,,,
17-12-17,46550,46820,46400,46500,46090.62891,12824,,,,,,
18-12-17,46500,46990,46500,46760,46348.33984,39919,,,,,,
19-12-17,46760,47000,46520,46520,46110.44922,58813,,,,,,
20-12-17,46500,48100,46480,47510,47091.73438,89297,,,,,,
21-12-17,47110,47480,46760,46890,46477.19531,56873,,,,,,
24-12-17,46780,47360,46720,47230,46814.19922,32381,,,,,,
25-12-17,47380,47470,47080,47100,46685.35156,20861,,,,,,
26-12-17,47100,47470,46880,47010,46596.13672,36870,,,,,,
27-12-17,46850,47000,46560,46800,46387.98438,49700,,,,,,
28-12-17,46720,47230,46500,46500,46090.62891,91167,,,,,,
31-12-17,46600,46650,46140,46320,45912.20703,27292,,,,,,
01-01-18,46320,47650,46200,47400,46982.70703,34953,,,,,,
02-01-18,47580,47750,47090,47210,46794.36719,54642,,,,,,
03-01-18,47080,47120,46320,46570,46160.00781,75237,,,,,,
04-01-18,46550,46640,46340,46600,46189.74609,146379,,,,,,
07-01-18,46650,47220,46650,46740,46328.51563,26456,,,,,,
08-01-18,46740,46940,45880,46440,46031.15625,53935,,,,,,
09-01-18,46210,46600,45980,46290,45882.48047,46898,,,,,,
10-01-18,46060,46070,45150,45330,44930.92188,54464,,,,,,
11-01-18,45210,45380,45010,45330,44930.92188,65699,,,,,,
14-01-18,45080,45100,44660,44790,44395.68359,47851,,,,,,
15-01-18,46400,48740,46230,48400,47973.90234,247883,,,,,,
16-01-18,48000,48340,47510,47670,47250.32813,108388,,,,,,
17-01-18,46500,48300,46400,48010,47587.33594,159404,,,,,,
18-01-18,48700,48900,47960,48100,47676.53906,64716,,,,,,
21-01-18,48000,48300,47520,47990,47567.51563,37210,,,,,,
22-01-18,47990,48260,47040,47130,46715.07422,78584,,,,,,
23-01-18,47500,48410,47200,47200,46784.46875,69588,,,,,,
24-01-18,47030,47780,46280,47650,47230.50391,81292,,,,,,
25-01-18,47650,48150,47470,47470,47052.08984,118658,,,,,,
28-01-18,47630,48140,47570,48060,47636.89844,36510,,,,,,
29-01-18,48060,49700,48050,49500,49064.21875,121804,,,,,,
30-01-18,49470,51400,49260,51010,50560.92188,111198,,,,,,
31-01-18,50620,52030,50620,51640,51185.38281,100297,,,,,,
01-02-18,51120,51760,50450,51680,51225.01953,149140,,,,,,
04-02-18,50660,50770,49740,49830,49391.31641,26552,,,,,,
05-02-18,49860,50390,49080,49650,49212.89844,46090,,,,,,
06-02-18,48000,48960,47400,48340,47914.42188,117249,,,,,,
07-02-18,48370,48880,48210,48570,48142.40625,46046,,,,,,
08-02-18,48720,50850,48720,50600,50154.53125,124448,,,,,,
11-02-18,50290,50600,50000,50400,49956.28906,36582,,,,,,
12-02-18,50400,51850,50400,50600,50154.53125,95436,,,,,,
13-02-18,50520,52310,50040,51850,51393.51953,101878,,,,,,
14-02-18,52200,52390,50880,52300,51839.57031,88155,,,,,,
15-02-18,52300,52890,52100,52380,51918.85938,65569,,,,,,
18-02-18,52420,52720,51960,52130,51671.05859,18863,,,,,,
19-02-18,52100,52450,51400,52000,51542.21094,38636,,,,,,
20-02-18,51600,51760,50860,51580,51125.90625,40916,,,,,,
21-02-18,51580,51580,50470,50470,50025.67188,53230,,,,,,
22-02-18,50470,50930,50210,50230,49787.78906,94385,,,,,,
25-02-18,50750,51100,50750,51030,50580.75,8448,,,,,,
26-02-18,51030,51030,50050,50230,49787.78906,50989,,,,,,
27-02-18,50380,50570,49760,50000,49559.8125,62754,,,,,,
28-02-18,49850,50400,49680,49680,49242.625,66425,,,,,,
01-03-18,49680,49680,49680,49680,49242.625,0,,,,,,
04-03-18,49270,49310,48850,49010,48578.53516,16261,,,,,,
05-03-18,48720,48980,48300,48300,47874.77734,57620,,,,,,
06-03-18,48400,48610,47700,47700,47280.0625,158308,,,,,,
07-03-18,47510,47940,47170,47220,46804.28906,50317,,,,,,
08-03-18,47480,47570,46640,47030,46615.96094,72412,,,,,,
11-03-18,47260,50100,47150,49700,49262.45703,62351,,,,,,
12-03-18,50000,50490,47580,47580,47161.11328,64211,,,,,,
13-03-18,47990,48280,46800,47730,47309.79688,61349,,,,,,
14-03-18,47630,48290,47300,47490,47071.90625,42533,,,,,,
15-03-18,47600,47720,46930,47720,47299.88672,59425,,,,,,
18-03-18,47560,47600,47060,47250,46834.03516,17655,,,,,,
19-03-18,47250,47260,46650,47100,46685.35156,34715,,,,,,
20-03-18,47000,47000,44750,46200,45793.26563,133453,,,,,,
21-03-18,46200,46200,45200,45500,45099.42578,59101,,,,,,
22-03-18,45700,45980,44880,45020,44623.65625,88770,,,,,,
25-03-18,44200,44980,43300,43820,43434.21875,104299,,,,,,
26-03-18,44290,44460,43390,43450,43067.47266,120619,,,,,,
27-03-18,43700,43840,43040,43040,42661.08984,129702,,,,,,
28-03-18,42600,42600,42100,42100,41729.35938,82669,,,,,,
